order_id,order_date,order_status,quantity_of_product_ordered,payment_method,voucher_value,review_rating,shipment_id,product_id,customer_id
1,2024-02-14,Processing,1,Apple Pay,1.6,NULL,8,160,80960
2,2024-02-02,Processing,8,Mastercard,7.1,NULL,95,114,96367
2,2024-02-02,Processing,9,Mastercard,6.4,NULL,95,18,96367
2,2024-02-02,Processing,1,Mastercard,0.5,NULL,95,151,96367
2,2024-02-02,Processing,5,Mastercard,5.8,NULL,95,106,96367
2,2024-02-02,Processing,8,Mastercard,5.8,NULL,95,109,96367
2,2024-02-02,Processing,10,Mastercard,3.8,NULL,95,146,96367
2,2024-02-02,Processing,4,Mastercard,2.6,NULL,95,48,96367
2,2024-02-02,Processing,5,Mastercard,2.4,NULL,95,65,96367
3,2024-02-25,Processing,10,Visa,0.0,NULL,18,93,21134
3,2024-02-25,Processing,10,Visa,0.5,NULL,18,27,21134
3,2024-02-25,Processing,7,Visa,6.2,NULL,18,120,21134
3,2024-02-25,Processing,2,Visa,7.6,NULL,18,119,21134
4,2024-02-07,Paid,10,Apple Pay,4.2,NULL,65,104,61476
4,2024-02-07,Paid,10,Apple Pay,9.8,NULL,65,153,61476
4,2024-02-07,Paid,5,Apple Pay,5.9,NULL,65,103,61476
4,2024-02-07,Paid,4,Apple Pay,3.5,NULL,65,118,61476
4,2024-02-07,Paid,5,Apple Pay,5.0,NULL,65,110,61476
4,2024-02-07,Paid,4,Apple Pay,4.5,NULL,65,87,61476
4,2024-02-07,Paid,3,Apple Pay,8.3,NULL,65,132,61476
5,2024-02-26,Returned,7,Apple Pay,9.7,NULL,97,103,79149
5,2024-02-26,Returned,4,Apple Pay,5.3,NULL,97,119,79149
6,2024-02-14,Returned,1,Google Pay,7.8,NULL,92,75,81558
6,2024-02-14,Returned,1,Google Pay,0.3,NULL,92,41,81558
6,2024-02-14,Returned,6,Google Pay,1.4,NULL,92,38,81558
6,2024-02-14,Returned,7,Google Pay,0.4,NULL,92,109,81558
6,2024-02-14,Returned,8,Google Pay,2.7,NULL,92,77,81558
6,2024-02-14,Returned,2,Google Pay,7.3,NULL,92,132,81558
6,2024-02-14,Returned,3,Google Pay,0.8,NULL,92,89,81558
7,2024-02-07,Returned,1,Google Pay,6.1,NULL,83,1,13946
7,2024-02-07,Returned,1,Google Pay,0.5,NULL,83,60,13946
7,2024-02-07,Returned,3,Google Pay,7.3,NULL,83,90,13946
7,2024-02-07,Returned,3,Google Pay,8.3,NULL,83,76,13946
7,2024-02-07,Returned,5,Google Pay,1.2,NULL,83,59,13946
7,2024-02-07,Returned,1,Google Pay,5.7,NULL,83,37,13946
7,2024-02-07,Returned,6,Google Pay,3.0,NULL,83,24,13946
8,2024-03-02,Done,8,Mastercard,0.2,4,50,55,81789
8,2024-03-02,Done,4,Mastercard,6.4,2,50,32,81789
8,2024-03-02,Done,4,Mastercard,8.0,1,50,123,81789
8,2024-03-02,Done,4,Mastercard,2.1,3,50,49,81789
8,2024-03-02,Done,1,Mastercard,3.6,5,50,152,81789
9,2024-02-12,Paid,2,Apple Pay,4.4,NULL,33,148,35334
9,2024-02-12,Paid,4,Apple Pay,0.4,NULL,33,127,35334
9,2024-02-12,Paid,10,Apple Pay,6.8,NULL,33,43,35334
9,2024-02-12,Paid,2,Apple Pay,3.0,NULL,33,30,35334
9,2024-02-12,Paid,7,Apple Pay,5.3,NULL,33,42,35334
10,2024-02-22,Done,2,Pay Pal,9.7,2,70,7,64857
10,2024-02-22,Done,4,Pay Pal,2.6,5,70,38,64857
10,2024-02-22,Done,1,Pay Pal,3.3,3,70,74,64857
10,2024-02-22,Done,5,Pay Pal,2.4,4,70,22,64857
10,2024-02-22,Done,5,Pay Pal,9.4,1,70,156,64857
10,2024-02-22,Done,7,Pay Pal,1.3,3,70,55,64857
10,2024-02-22,Done,1,Pay Pal,8.5,4,70,27,64857
10,2024-02-22,Done,10,Pay Pal,7.7,5,70,62,64857
11,2024-01-17,Paid,6,Visa,9.0,NULL,19,129,22621
11,2024-01-17,Paid,1,Visa,8.6,NULL,19,111,22621
11,2024-01-17,Paid,5,Visa,9.1,NULL,19,131,22621
11,2024-01-17,Paid,4,Visa,10.0,NULL,19,53,22621
11,2024-01-17,Paid,7,Visa,3.2,NULL,19,37,22621
11,2024-01-17,Paid,7,Visa,8.5,NULL,19,71,22621
12,2024-01-07,Done,5,Visa,1.8,2,49,78,15158
12,2024-01-07,Done,9,Visa,0.4,5,49,138,15158
12,2024-01-07,Done,7,Visa,8.3,1,49,19,15158
