product_id,product_name,category_id,warehouse_id,seller_id,product_weight,product_price,product_size
131,Geometric Stainless Steel Denim-Vest White Odyssey Series,56,481,87185,4.8,15.5,XL
132,Abstract Bamboo Denim-Sleeveless-Skirt Maroon Zenith Series,55,486,50173,2.3,44.5,S
133, Cotton Denim-Jumpsuit Red Enigma Collection,57,127,54179,1.1,14.5,XL
134,Minimalist Mesh Denim-Tote-Bag Red Phoenix Series,54,307,98153,3.3,13.2,L
135,Futuristic Glass Denim-Jumpsuit Green Legacy Collection,57,164,10866,5.6,33.9,L
136,Vintage  Denim-Sleeveless-Skirt Black Essence Series,55,401,28654,9.9,12.3,S
137,Floral Ceramic Denim-Sleeveless-Skirt  Solstice Series,55,481,80005,6.7,31.4,XS
138,Elegant Mesh Denim-Vest Lavender Odyssey Series,56,387,99846,5.7,41.9,L
139,Minimalist Ceramic Denim-Vest Black Legacy Collection,56,441,80133,2.0,17.1,L
140, Ceramic Denim-Sleeveless-Skirt Black Legacy Collection,55,365,78576,4.5,13.5,XS
141,Stylish  Denim-Sleeveless-Skirt Pink Vitality Series,55,384,33344,5.0,47.8,M
142,  Denim-Jumpsuit Purple Essence Series,57,440,95347,3.8,40.8,XS
143,Sporty Faux Leather Denim-Vest Crimson Essence Series,56,122,50173,8.9,13.2,S
144,Traditional Suede Denim-Jumpsuit Blue Evolve Series,57,422,13577,2.4,32.5,XS
145,Futuristic Recycled Plastic Denim-Tote-Bag Black Essence Series,54,439,71966,3.0,36.5,S
146,Minimalist Stainless Steel Denim-Jumpsuit Lavender Evolve Series,57,481,74065,3.9,15.4,XS
147,Luxury Linen Denim-Tote-Bag Crimson Nexus Collection,54,383,85371,8.5,32.3,XS
148,Geometric Wood Denim-Jumpsuit Black Fusion Line,57,241,67179,8.0,24.5,M
149,Eco-Friendly Synthetic Denim-Vest Aqua Phoenix Series,56,462,65358,8.1,32.5,M
150,Minimalist Leather Denim-Vest Olive Elysium Line,56,459,16147,2.0,14.7,L
151,Futuristic Stainless Steel Denim-Jumpsuit Charcoal Nexus Collection,57,441,70291,5.2,35.5,L
152,Stylish Glass Denim-Sleeveless-Skirt Olive Fusion Line,55,246,15600,6.7,22.9,XS
153,Vintage Suede Denim-Sleeveless-Skirt Red Legacy Collection,55,369,89634,1.8,44.0,XS
154,Vintage Silk Denim-Vest White Phoenix Series,56,365,70291,1.7,49.9,S
155,Casual Linen Denim-Tote-Bag Coral Legacy Collection,54,481,31919,1.1,39.2,L
156,Traditional Synthetic Denim-Jumpsuit Red Legacy Collection,57,127,47070,2.5,45.5,XS
157,Eco-Friendly Wood Denim-Vest Aqua Nexus Collection,56,440,89199,3.9,45.8,S
158,Abstract Suede Denim-Jumpsuit Crimson Evolve Series,57,440,33983,6.1,36.8,S
159,Sporty Polyester Denim-Sleeveless-Skirt Pink Fusion Line,55,199,13577,8.8,32.4,XS
160,Comfortable Recycled Plastic Denim-Vest Teal Evolve Series,56,462,70291,9.0,28.0,XL
