shipment_id,shipping_method,shipping_charge
1,Next Day,10
2,Next Day,10
3,Next Day,10
4,Next Day,10
5,7 Days,3
6,7 Days,3
7,7 Days,3
8,Next Day,10
9,7 Days,3
10,Next Day,10
11,5 Days,6
12,5 Days,6
13,7 Days,3
14,5 Days,6
15,Next Day,10
16,Next Day,10
17,Next Day,10
18,5 Days,6
19,5 Days,6
20,7 Days,3
21,5 Days,6
22,Next Day,10
23,7 Days,3
24,Next Day,10
25,Next Day,10
26,7 Days,3
27,5 Days,6
28,7 Days,3
29,Next Day,10
30,5 Days,6
31,Next Day,10
32,7 Days,3
33,7 Days,3
34,7 Days,3
35,5 Days,6
36,7 Days,3
37,Next Day,10
38,5 Days,6
39,7 Days,3
40,Next Day,10
41,7 Days,3
42,Next Day,10
43,Next Day,10
44,7 Days,3
45,5 Days,6
46,5 Days,6
47,5 Days,6
48,Next Day,10
49,Next Day,10
50,5 Days,6
51,5 Days,6
52,5 Days,6
53,Next Day,10
54,7 Days,3
55,Next Day,10
56,Next Day,10
57,Next Day,10
58,Next Day,10
59,5 Days,6
60,Next Day,10
61,7 Days,3
62,Next Day,10
63,7 Days,3
64,Next Day,10
65,5 Days,6
66,5 Days,6
67,Next Day,10
68,7 Days,3
69,5 Days,6
70,7 Days,3
71,7 Days,3
72,5 Days,6
73,7 Days,3
74,5 Days,6
75,7 Days,3
76,7 Days,3
77,7 Days,3
78,5 Days,6
79,5 Days,6
80,Next Day,10
81,7 Days,3
82,5 Days,6
83,Next Day,10
84,Next Day,10
85,Next Day,10
86,5 Days,6
87,7 Days,3
88,5 Days,6
89,5 Days,6
90,Next Day,10
91,5 Days,6
92,7 Days,3
93,5 Days,6
94,5 Days,6
95,Next Day,10
96,5 Days,6
97,5 Days,6
98,7 Days,3
99,5 Days,6
100,7 Days,3
