warehouse_id,capacity,current_stock,w_city,w_post_code,w_address_street
899,79364,55616,Glasgow,G2,4096 Lopez Islands
673,61064,28844,Inverness,IV2,82960 Barry Gardens
711,75843,26922,Dundee,DD1,251 Miller Course Apt. 256
956,58064,36673,Biggar,ML12,04178 Watson Viaduct Apt. 787
518,96327,84823,Edinburgh,EH8,7396 Michael Center
625,73672,34447,Kirkcaldy,KY1,377 Brown Spurs Apt. 285
558,98000,734,Edinburgh,EH1,7039 Karen Shoals Suite 962
849,28850,22320,Dumfries,DG1,123 Marshall Prairie Suite 735
671,31069,10487,Dundee,DD1,34136 Knox Forges Suite 133
992,86893,84156,Castle Douglas,DG6,85971 Travis Estates Apt. 662
936,28721,15187,Montrose,DD10,8016 Williams Extension
599,40734,6518,Inverness,IV2,61804 Xavier Trace Suite 127
864,49152,33079,Motherwell,ML1,5631 Brian Bypass
724,89908,85538,Aberdeen,AB22,34086 Allen Freeway Suite 007
597,33611,25289,Kilmarnock,KA1,878 Rose Turnpike
680,82228,47076,Aberdeen,AB22,99883 Jonathan Coves Suite 540
555,53278,15070,Montrose,DD10,4132 Shields Squares Suite 354
973,97525,11089,Inverness,IV1,9005 Amanda Burgs
800,92616,89755,Kilmarnock,KA1,4387 Elizabeth Spur Suite 144
743,62567,3851,Kilmarnock,KA1,4786 William Corners Suite 224
765,88877,55083,Inverness,IV2,3670 Holly Cliff Apt. 787
937,21207,8746,Gourock,PA19,75199 Deborah Harbor Suite 258
871,82743,39676,Edinburgh,EH8,170 Tammy Plaza
843,38707,38613,Inverness,IV1,8064 Cole Orchard Apt. 994
535,33927,25711,Inverness,IV1,8555 Williams Knoll
679,81011,65990,Kilmarnock,KA1,67725 Lindsey Extensions Suite 723
983,55734,5557,Kirkcaldy,KY1,8976 Martinez Mall
761,64775,8794,Edinburgh,EH8,376 Adams Stream
600,25065,11877,Gourock,PA19,78578 Virginia Lock
882,97003,81340,Aberdeen,AB10,38271 Craig Spurs
771,79826,38109,Paisley,PA1,3549 Love Mission Apt. 043
751,80848,9182,Glenrothes,KY7,96841 Carol Springs Apt. 558
635,82158,55376,Biggar,ML12,057 Jimenez Trail Apt. 570
915,20059,2916,Paisley,PA1,56643 Gray Camp
557,59155,14257,Biggar,ML12,14742 Robin Streets Suite 391
556,63026,38820,Inverness,IV2,9051 William Mill
506,69327,49770,Dumfries,DG1,97387 Joanna Stream Suite 752
938,91908,55602,Motherwell,ML1,714 Martin Curve Suite 395
564,36779,6098,Kilmarnock,KA1,4831 Rhonda Causeway Suite 111
655,55669,2753,Glasgow,G2,788 Dale Manors
596,66861,38288,Inverness,IV2,845 Thomas Street
517,78120,61734,Castle Douglas,DG6,264 Shannon Springs Suite 852
900,46251,21471,Biggar,ML12,69511 Kennedy Springs Suite 322
952,23635,2492,Aberdeen,AB10,8233 Wilson Plains
907,58884,9176,Inverness,IV2,43663 Charles Curve
933,90941,76071,Motherwell,ML1,9438 Stark Station
616,54730,36617,Biggar,ML12,40868 Richards Land
801,99399,21578,Inverness,IV2,402 Buckley Parkways
717,78610,56897,Inverness,IV2,32439 Tammy Shore
614,49490,27632,Inverness,IV1,250 Joseph Village Apt. 745
